ID saveur AVA;ID produit;Marque;Nom produit;Saveur principale;Saveur secondaire 1;Saveur secondaire 2;Famille de goût;Frais / glacé;Niveau de fraîcheur;Niveau de sucre;Intensité aromatique;Type de sensation;Description simple pour le client;Mots-clés recherchables;Produits similaires;Pour quel profil client;Ancien fumeur / profil tabac;Moment conseillé;À éviter si le client demande;Nicotine disponible;Matériel conseillé;Questions qu’A.V.A. doit poser;Réponse courte d’A.V.A.;Réponse détaillée d’A.V.A.;Statut validation;Validé par;Date validation
SAV-0001;AV-0001;Liquidarom;Ice Cool - Cassis Citron;cassis;citron;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange cassis, citron avec une fraîcheur très marquée.;cassis citron, ice cool, cassis, citron, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Cassis Citron propose cassis, citron avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe cassis, citron. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0002;AV-0002;Liquidarom;Ice Cool - Pêche Raisin;pêche;raisin;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange pêche, raisin avec une fraîcheur très marquée.;pêche raisin, ice cool, pêche, raisin, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Pêche Raisin propose pêche, raisin avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe pêche, raisin. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0003;AV-0003;Liquidarom;Ice Cool - Framboise des bois;framboise des bois;;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange framboise des bois avec une fraîcheur très marquée.;framboise des bois, ice cool, framboise des bois, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Framboise des bois propose framboise des bois avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe framboise des bois. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0004;AV-0004;Liquidarom;Ice Cool - Pomme verte Orange;pomme verte;orange;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange pomme verte, orange avec une fraîcheur très marquée.;pomme verte orange, ice cool, pomme verte, orange, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Pomme verte Orange propose pomme verte, orange avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe pomme verte, orange. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0005;AV-0005;Liquidarom;Ice Cool - Cola Pomme;cola;pomme;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange cola, pomme avec une fraîcheur très marquée.;cola pomme, ice cool, cola, pomme, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Cola Pomme propose cola, pomme avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe cola, pomme. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0006;AV-0006;Liquidarom;Ice Cool - Cassis Framboise Raisin;cassis;framboise;raisin;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange cassis, framboise, raisin avec une fraîcheur très marquée.;cassis framboise raisin, ice cool, cassis, framboise, raisin, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Cassis Framboise Raisin propose cassis, framboise, raisin avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe cassis, framboise, raisin. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0007;AV-0007;Liquidarom;Ice Cool - Fruit du dragon Fruits rouges;fruit du dragon;fruits rouges;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange fruit du dragon, fruits rouges avec une fraîcheur très marquée.;fruit du dragon fruits rouges, ice cool, fruit du dragon, fruits rouges, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Fruit du dragon Fruits rouges propose fruit du dragon, fruits rouges avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe fruit du dragon, fruits rouges. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0008;AV-0008;Liquidarom;Ice Cool - Mûre Framboise;mûre;framboise;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange mûre, framboise avec une fraîcheur très marquée.;mûre framboise, ice cool, mûre, framboise, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Mûre Framboise propose mûre, framboise avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe mûre, framboise. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0009;AV-0009;Liquidarom;Ice Cool - Mangue Passion;mangue;fruit de la passion;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange mangue, fruit de la passion avec une fraîcheur très marquée.;mangue passion, ice cool, mangue, fruit de la passion, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Mangue Passion propose mangue, fruit de la passion avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe mangue, fruit de la passion. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0010;AV-0010;Liquidarom;Ice Cool - Citron vert Orange sanguine;citron vert;orange sanguine;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange citron vert, orange sanguine avec une fraîcheur très marquée.;citron vert orange sanguine, ice cool, citron vert, orange sanguine, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Citron vert Orange sanguine propose citron vert, orange sanguine avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe citron vert, orange sanguine. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0011;AV-0011;Liquidarom;Ice Cool - Cactus citronné Framboise Fruit du dragon;cactus citronné;framboise;fruit du dragon;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange cactus citronné, framboise, fruit du dragon avec une fraîcheur très marquée.;cactus citronné framboise fruit du dragon, ice cool, cactus citronné, framboise, fruit du dragon, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Cactus citronné Framboise Fruit du dragon propose cactus citronné, framboise, fruit du dragon avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe cactus citronné, framboise, fruit du dragon. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0012;AV-0012;Liquidarom;Ice Cool - Cocktail exotique;cocktail exotique;;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange cocktail exotique avec une fraîcheur très marquée.;cocktail exotique, ice cool, cocktail exotique, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Cocktail exotique propose cocktail exotique avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe cocktail exotique. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0013;AV-0013;Liquidarom;Ice Cool - Fraise Framboise Basilic;fraise;framboise;basilic;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange fraise, framboise, basilic avec une fraîcheur très marquée.;fraise framboise basilic, ice cool, fraise, framboise, basilic, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Fraise Framboise Basilic propose fraise, framboise, basilic avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe fraise, framboise, basilic. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0014;AV-0014;Liquidarom;Ice Cool - Extra Fruits rouges;fruits rouges;;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange fruits rouges avec une fraîcheur très marquée.;extra fruits rouges, ice cool, fruits rouges, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Extra Fruits rouges propose fruits rouges avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe fruits rouges. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0015;AV-0015;Liquidarom;Ice Cool - Ananas Kiwi jaune;ananas;kiwi jaune;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange ananas, kiwi jaune avec une fraîcheur très marquée.;ananas kiwi jaune, ice cool, ananas, kiwi jaune, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Ananas Kiwi jaune propose ananas, kiwi jaune avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe ananas, kiwi jaune. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0016;AV-0016;Liquidarom;Ice Cool - Pêche Myrtille;pêche;myrtille;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange pêche, myrtille avec une fraîcheur très marquée.;pêche myrtille, ice cool, pêche, myrtille, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Pêche Myrtille propose pêche, myrtille avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe pêche, myrtille. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0017;AV-0017;Liquidarom;Ice Cool - Pastèque Fruits rouges;pastèque;fruits rouges;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange pastèque, fruits rouges avec une fraîcheur très marquée.;pastèque fruits rouges, ice cool, pastèque, fruits rouges, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Pastèque Fruits rouges propose pastèque, fruits rouges avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe pastèque, fruits rouges. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0018;AV-0018;Liquidarom;Ice Cool - Fruit du serpent Framboise;fruit du serpent;framboise;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange fruit du serpent, framboise avec une fraîcheur très marquée.;fruit du serpent framboise, ice cool, fruit du serpent, framboise, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Fruit du serpent Framboise propose fruit du serpent, framboise avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe fruit du serpent, framboise. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0019;AV-0019;Liquidarom;Ice Cool - Kiwi Banane;kiwi;banane;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange kiwi, banane avec une fraîcheur très marquée.;kiwi banane, ice cool, kiwi, banane, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Kiwi Banane propose kiwi, banane avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe kiwi, banane. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0020;AV-0020;Liquidarom;Ice Cool - Cassis Mangue;cassis;mangue;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange cassis, mangue avec une fraîcheur très marquée.;cassis mangue, ice cool, cassis, mangue, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Cassis Mangue propose cassis, mangue avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe cassis, mangue. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0021;AV-0021;Liquidarom;Ice Cool - Citron Pastèque;citron;pastèque;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange citron, pastèque avec une fraîcheur très marquée.;citron pastèque, ice cool, citron, pastèque, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Citron Pastèque propose citron, pastèque avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe citron, pastèque. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0022;AV-0022;Liquidarom;Ice Cool - Framboise bleue Pitaya;framboise bleue;pitaya;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange framboise bleue, pitaya avec une fraîcheur très marquée.;framboise bleue pitaya, ice cool, framboise bleue, pitaya, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Framboise bleue Pitaya propose framboise bleue, pitaya avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe framboise bleue, pitaya. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
