ID produit;Code-barres / SKU;Marque;Nom commercial;Catégorie;Sous-catégorie;Type de produit;Format / Contenance;Taux nicotine (mg/ml);Sels de nicotine;Ratio PG/VG;Puissance conseillée (W);Résistance compatible (ohm);Compatibilité / Modèle;Couleur;Prix vente TTC (€);Stock Hautmont;Stock Le Quesnoy;Stock total;Actif en boutique;Actif en ligne;Photo face;Photo dos;Photo côté;Photo code-barres;Description courte;Description complète;Avertissements / restrictions;Notes internes;Date dernière mise à jour
AV-0001;;Liquidarom;Ice Cool - Cassis Citron;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q2:R2);Oui;Non;image-1785228599019.jpg;;;;Cassis Citron : cassis, citron.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : cassis, citron.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0002;;Liquidarom;Ice Cool - Pêche Raisin;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q3:R3);Oui;Non;image-1785228599019.jpg;;;;Pêche Raisin : pêche, raisin.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : pêche, raisin.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0003;;Liquidarom;Ice Cool - Framboise des bois;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q4:R4);Oui;Non;image-1785228599019.jpg;;;;Framboise des bois : framboise des bois.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : framboise des bois.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0004;;Liquidarom;Ice Cool - Pomme verte Orange;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q5:R5);Oui;Non;image-1785228599019.jpg;;;;Pomme verte Orange : pomme verte, orange.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : pomme verte, orange.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0005;;Liquidarom;Ice Cool - Cola Pomme;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q6:R6);Oui;Non;image-1785228599019.jpg;;;;Cola Pomme : cola, pomme.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : cola, pomme.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0006;;Liquidarom;Ice Cool - Cassis Framboise Raisin;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q7:R7);Oui;Non;image-1785228599019.jpg;;;;Cassis Framboise Raisin : cassis, framboise, raisin.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : cassis, framboise, raisin.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0007;;Liquidarom;Ice Cool - Fruit du dragon Fruits rouges;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q8:R8);Oui;Non;image-1785228599019.jpg;;;;Fruit du dragon Fruits rouges : fruit du dragon, fruits rouges.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : fruit du dragon, fruits rouges.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0008;;Liquidarom;Ice Cool - Mûre Framboise;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q9:R9);Oui;Non;image-1785228599019.jpg;;;;Mûre Framboise : mûre, framboise.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : mûre, framboise.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0009;;Liquidarom;Ice Cool - Mangue Passion;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q10:R10);Oui;Non;image-1785228599019.jpg;;;;Mangue Passion : mangue, fruit de la passion.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : mangue, fruit de la passion.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0010;;Liquidarom;Ice Cool - Citron vert Orange sanguine;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q11:R11);Oui;Non;image-1785228599019.jpg;;;;Citron vert Orange sanguine : citron vert, orange sanguine.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : citron vert, orange sanguine.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
